22119: ['01', '09', '16', '25', '29'], ['04', '09']
22120: ['11', '22', '26', '30', '33'], ['03', '05']
22121: ['04', '15', '16', '20', '21'], ['04', '05']
22122: ['04', '15', '17', '19', '25'], ['06', '12']
22123: ['02', '20', '28', '29', '30'], ['07', '10']
22124: ['02', '04', '11', '25', '30'], ['06', '12']
22125: ['03', '07', '14', '16', '19'], ['01', '11']
22126: ['04', '05', '08', '22', '35'], ['01', '03']
22127: ['02', '03', '08', '09', '20'], ['04', '10']
22128: ['10', '19', '21', '23', '35'], ['04', '10']
22129: ['10', '17', '23', '34', '35'], ['01', '04']
22130: ['05', '07', '15', '18', '23'], ['05', '10']
22131: ['02', '06', '08', '10', '17'], ['05', '06']
22132: ['02', '27', '30', '34', '35'], ['09', '12']
22133: ['01', '02', '14', '30', '31'], ['06', '09']
22134: ['03', '16', '23', '27', '32'], ['03', '06']
22135: ['09', '10', '27', '31', '32'], ['01', '03']
22136: ['01', '11', '15', '17', '33'], ['03', '11']
22137: ['05', '06', '08', '15', '20'], ['07', '08']
22138: ['05', '13', '16', '27', '33'], ['07', '12']
22139: ['01', '13', '14', '22', '35'], ['02', '05']
22140: ['05', '15', '25', '26', '29'], ['04', '12']
22141: ['05', '06', '14', '24', '25'], ['02', '04']
22142: ['07', '12', '14', '29', '35'], ['01', '11']
22143: ['10', '13', '14', '27', '33'], ['07', '08']
22144: ['03', '04', '08', '15', '21'], ['04', '07']
22145: ['10', '20', '29', '30', '35'], ['06', '09']
22146: ['01', '21', '23', '28', '35'], ['07', '09']
22147: ['04', '12', '22', '28', '30'], ['09', '11']
22148: ['04', '05', '06', '26', '27'], ['07', '12']
22149: ['15', '19', '22', '26', '28'], ['02', '07']
22150: ['06', '07', '26', '29', '30'], ['03', '12']
23001: ['18', '19', '24', '27', '34'], ['11', '12']
23002: ['11', '14', '21', '26', '27'], ['02', '07']
23003: ['05', '06', '14', '21', '22'], ['02', '09']
23004: ['04', '13', '15', '20', '22'], ['04', '08']
23005: ['01', '03', '10', '20', '29'], ['06', '11']
23006: ['02', '04', '12', '27', '35'], ['06', '07']
23007: ['02', '03', '24', '30', '32'], ['01', '06']
23008: ['04', '09', '17', '22', '25'], ['01', '05']
23009: ['01', '05', '11', '15', '33'], ['01', '10']
23010: ['05', '06', '13', '23', '26'], ['01', '06']
23011: ['02', '07', '08', '17', '25'], ['01', '03']
23012: ['07', '16', '17', '18', '28'], ['02', '03']
23013: ['01', '02', '09', '23', '25'], ['02', '06']
23014: ['03', '08', '18', '22', '24'], ['01', '09']
23015: ['08', '16', '24', '25', '34'], ['08', '12']
23016: ['02', '04', '12', '31', '32'], ['07', '11']
23017: ['02', '05', '09', '22', '27'], ['10', '11']
23018: ['04', '08', '17', '26', '30'], ['03', '11']
23019: ['05', '08', '09', '11', '15'], ['06', '08']
23020: ['05', '06', '23', '25', '28'], ['06', '09']
23021: ['02', '09', '18', '23', '27'], ['03', '05']
23022: ['07', '11', '15', '26', '28'], ['08', '10']
23023: ['09', '21', '23', '25', '33'], ['03', '10']
23024: ['11', '15', '24', '27', '30'], ['01', '10']
23025: ['03', '09', '27', '30', '31'], ['11', '12']
23026: ['02', '13', '24', '27', '30'], ['01', '06']
23027: ['09', '10', '12', '15', '23'], ['03', '06']
23028: ['01', '03', '29', '30', '34'], ['04', '12']
23029: ['07', '25', '27', '34', '35'], ['09', '11']
23030: ['06', '11', '12', '20', '35'], ['05', '12']
23031: ['05', '07', '08', '16', '25'], ['03', '11']
23032: ['05', '06', '18', '28', '30'], ['02', '07']
23033: ['04', '06', '10', '11', '25'], ['07', '09']
23034: ['07', '09', '10', '15', '24'], ['04', '12']
23035: ['07', '14', '23', '25', '29'], ['02', '11']
23036: ['01', '13', '22', '26', '31'], ['02', '10']
23037: ['06', '08', '16', '20', '24'], ['07', '08']
23038: ['04', '10', '18', '27', '32'], ['10', '12']
23039: ['02', '24', '26', '30', '34'], ['06', '07']
23040: ['04', '05', '18', '22', '30'], ['05', '12']
23041: ['05', '08', '13', '26', '35'], ['05', '09']
23042: ['02', '16', '21', '23', '27'], ['01', '08']
23043: ['02', '04', '17', '20', '27'], ['01', '08']
